Cycle of Putrescence	429547	8.59%
Sunwreath	428995	8.58%
Arboreal Circuit	428695	8.57%
The Invoker's Static Touch	428665	8.57%
Ring of the Third Eye	428368	8.57%
Quicksilver Coil	428264	8.57%
Font of the Erased	427935	8.56%
The Invoker's Scorching Grasp	427746	8.55%
Tongue of the Aberrant Seer	427514	8.55%
Hollow Finger	342848	6.86%
Ferebor's Persistence	257232	5.14%
Liath's Signet	213840	4.28%
Heirloom of the Last Nomad	128887	2.58%
Silvafrond	128606	2.57%
Oceareon	64391	1.29%
Red Ring of Atlaria	8467	0.17%
